Sample	Variant classes	Consequences (most severe)	Consequences (all)	Coding consequences	SIFT summary	PolyPhen summary	Variants by chromosome	Position in protein	General statistics
GBR_UGT2B7	{'sequence_alteration': 1, 'deletion': 1, 'insertion': 4, 'SNV': 87}	{'splice_donor_variant': 1, 'missense_variant': 1, 'synonymous_variant': 4, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 80}	{'splice_donor_variant': 2, 'missense_variant': 9, 'synonymous_variant': 33, '3_prime_UTR_variant': 12, 'non_coding_transcript_exon_variant': 10, 'intron_variant': 514, 'non_coding_transcript_variant': 145, 'upstream_gene_variant': 93, 'downstream_gene_variant': 53, 'regulatory_region_variant': 8}	{'missense_variant': 9, 'synonymous_variant': 33}	{'tolerated_low_confidence': 4}	{'benign': 4}	{'chr4': 93}	{'00-10%': 0, '10-20%': 2, '20-30%': 7, '30-40%': 2, '40-50%': 9, '50-60%': 5, '60-70%': 10, '70-80%': 3, '80-90%': 2, '90-100%': 2}	{'Lines of input read': 93, 'Variants processed': 93, 'Variants filtered out': 0, 'Novel variants': 21, 'Existing variants': 72, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 4}
GBR_VKORC1	{'SNV': 10}	{'splice_donor_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 1, 'upstream_gene_variant': 2}	{'splice_donor_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 14, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 44, 'non_coding_transcript_variant': 4, 'upstream_gene_variant': 46, 'downstream_gene_variant': 28, 'regulatory_region_variant': 4}				{'chr16': 10}		{'Lines of input read': 10, 'Variants processed': 10, 'Variants filtered out': 0, 'Novel variants': 5, 'Existing variants': 5, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 2}
GIH_CALU	{'insertion': 1, 'SNV': 10}	{'missense_variant': 1, '3_prime_UTR_variant': 2, 'intron_variant': 8}	{'missense_variant': 24, '3_prime_UTR_variant': 6, 'intron_variant': 215, 'upstream_gene_variant': 7, 'downstream_gene_variant': 45, 'regulatory_region_variant': 2}	{'missense_variant': 24}	{'tolerated_low_confidence': 1, 'tolerated': 19}	{'benign': 20}	{'chr7': 11}	{'00-10%': 24, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 11, 'Variants processed': 11, 'Variants filtered out': 0, 'Novel variants': 6, 'Existing variants': 5, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 2}
GIH_CYP2C9	{'SNV': 45}	{'missense_variant': 2, 'splice_polypyrimidine_tract_variant': 2, 'synonymous_variant': 1, '3_prime_UTR_variant': 7, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 30, 'downstream_gene_variant': 1}	{'missense_variant': 33, 'splice_polypyrimidine_tract_variant': 18, 'synonymous_variant': 17, '3_prime_UTR_variant': 38, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 707, 'NMD_transcript_variant': 42, 'non_coding_transcript_variant': 16, 'upstream_gene_variant': 16, 'downstream_gene_variant': 61}	{'missense_variant': 33, 'synonymous_variant': 17}	{'tolerated_low_confidence': 2, 'deleterious_low_confidence': 2}	{'possibly_damaging': 1, 'benign': 1, 'probably_damaging': 2}	{'chr10': 45}	{'00-10%': 0, '10-20%': 0, '20-30%': 9, '30-40%': 5, '40-50%': 1, '50-60%': 1, '60-70%': 2, '70-80%': 14, '80-90%': 1, '90-100%': 17}	{'Lines of input read': 45, 'Variants processed': 45, 'Variants filtered out': 0, 'Novel variants': 6, 'Existing variants': 39, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
GIH_CYP4F2	{'insertion': 2, 'SNV': 50}	{'missense_variant': 3, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 2, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 38}	{'missense_variant': 52, 'splice_polypyrimidine_tract_variant': 21, 'synonymous_variant': 52, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 49, 'non_coding_transcript_exon_variant': 13, 'intron_variant': 885, 'NMD_transcript_variant': 44, 'non_coding_transcript_variant': 77, 'upstream_gene_variant': 43, 'downstream_gene_variant': 35}	{'missense_variant': 52, 'synonymous_variant': 52}	{'tolerated': 2, 'deleterious_low_confidence': 5, 'tolerated_low_confidence': 10}	{'probably_damaging': 4, 'benign': 13}	{'chr19': 52}	{'00-10%': 20, '10-20%': 30, '20-30%': 0, '30-40%': 1, '40-50%': 1, '50-60%': 3, '60-70%': 14, '70-80%': 3, '80-90%': 19, '90-100%': 13}	{'Lines of input read': 52, 'Variants processed': 52, 'Variants filtered out': 0, 'Novel variants': 6, 'Existing variants': 46, 'Overlapped genes': 3, 'Overlapped transcripts': 26, 'Overlapped regulatory features': 0}
GIH_DRD2	{'insertion': 1, 'deletion': 2, 'SNV': 105}	{'missense_variant': 1, 'synonymous_variant': 3, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 95}	{'missense_variant': 8, 'synonymous_variant': 25, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 35, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 757, 'non_coding_transcript_variant': 125, 'upstream_gene_variant': 86, 'downstream_gene_variant': 107, 'regulatory_region_variant': 6}	{'missense_variant': 8, 'synonymous_variant': 25}	{'tolerated': 2, 'deleterious': 6}	{'benign': 1, 'possibly_damaging': 7}	{'chr11': 108}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 8, '40-50%': 0, '50-60%': 0, '60-70%': 2, '70-80%': 23, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 108, 'Variants processed': 108, 'Variants filtered out': 0, 'Novel variants': 36, 'Existing variants': 72, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 3}
GIH_GGCX	{'deletion': 1, 'insertion': 2, 'SNV': 10}	{'synonymous_variant': 1, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 5}	{'synonymous_variant': 23, '3_prime_UTR_variant': 31, 'non_coding_transcript_exon_variant': 20, 'intron_variant': 316, 'NMD_transcript_variant': 78, 'non_coding_transcript_variant': 63, 'upstream_gene_variant': 15, 'downstream_gene_variant': 111}	{'synonymous_variant': 23}			{'chr2': 13}	{'00-10%': 0, '10-20%': 0, '20-30%': 2, '30-40%': 3, '40-50%': 2, '50-60%': 13, '60-70%': 0, '70-80%': 0, '80-90%': 1, '90-100%': 2}	{'Lines of input read': 13, 'Variants processed': 13, 'Variants filtered out': 0, 'Novel variants': 2, 'Existing variants': 11, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 0}
GIH_OPRM1	{'insertion': 3, 'deletion': 7, 'SNV': 139}	{'missense_variant': 2, 'synonymous_variant': 2, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 20, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 120}	{'missense_variant': 16, 'synonymous_variant': 2, '5_prime_UTR_variant': 8, '3_prime_UTR_variant': 33, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 1729, 'NMD_transcript_variant': 209, 'non_coding_transcript_variant': 118, 'upstream_gene_variant': 68, 'downstream_gene_variant': 179, 'regulatory_region_variant': 4}	{'missense_variant': 16, 'synonymous_variant': 2}	{'tolerated_low_confidence': 1, 'deleterious': 2, 'deleterious_low_confidence': 13}	{'unknown': 1, 'probably_damaging': 2, 'possibly_damaging': 3, 'benign': 10}	{'chr6': 149}	{'00-10%': 7, '10-20%': 4, '20-30%': 3, '30-40%': 0, '40-50%': 0, '50-60%': 1, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 3}	{'Lines of input read': 149, 'Variants processed': 149, 'Variants filtered out': 0, 'Novel variants': 46, 'Existing variants': 103, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 4}
GIH_UGT2B7	{'deletion': 1, 'sequence_alteration': 1, 'insertion': 2, 'SNV': 48}	{'missense_variant': 2, 'synonymous_variant': 5, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 40}	{'missense_variant': 15, 'synonymous_variant': 40, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 12, 'non_coding_transcript_exon_variant': 9, 'intron_variant': 328, 'non_coding_transcript_variant': 89, 'upstream_gene_variant': 62, 'downstream_gene_variant': 42, 'regulatory_region_variant': 4}	{'missense_variant': 15, 'synonymous_variant': 40}	{'tolerated_low_confidence': 5}	{'benign': 5}	{'chr4': 52}	{'00-10%': 0, '10-20%': 3, '20-30%': 7, '30-40%': 2, '40-50%': 14, '50-60%': 3, '60-70%': 14, '70-80%': 8, '80-90%': 2, '90-100%': 2}	{'Lines of input read': 52, 'Variants processed': 52, 'Variants filtered out': 0, 'Novel variants': 6, 'Existing variants': 46, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 3}
GIH_VKORC1	{'SNV': 6}	{'splice_region_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 2}	{'splice_region_variant': 6, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 7, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 51, 'non_coding_transcript_variant': 5, 'upstream_gene_variant': 20, 'downstream_gene_variant': 3, 'regulatory_region_variant': 1}				{'chr16': 6}		{'Lines of input read': 6, 'Variants processed': 6, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 6, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
GWD_CALU	{'SNV': 8}	{'missense_variant': 1, '3_prime_UTR_variant': 2, 'intron_variant': 5}	{'missense_variant': 24, '3_prime_UTR_variant': 36, 'intron_variant': 124, 'upstream_gene_variant': 6, 'downstream_gene_variant': 15}	{'missense_variant': 24}	{'tolerated_low_confidence': 1, 'tolerated': 19}	{'benign': 20}	{'chr7': 8}	{'00-10%': 24, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 8, 'Variants processed': 8, 'Variants filtered out': 0, 'Novel variants': 5, 'Existing variants': 3, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
GWD_CYP2C9	{'SNV': 16}	{'missense_variant': 2, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 2, '3_prime_UTR_variant': 1, 'intron_variant': 10}	{'missense_variant': 18, 'splice_polypyrimidine_tract_variant': 34, 'synonymous_variant': 33, '3_prime_UTR_variant': 4, 'intron_variant': 246, 'NMD_transcript_variant': 16, 'non_coding_transcript_variant': 9, 'upstream_gene_variant': 7, 'downstream_gene_variant': 8}	{'missense_variant': 18, 'synonymous_variant': 33}	{'deleterious_low_confidence': 1}	{'probably_damaging': 1}	{'chr10': 16}	{'00-10%': 0, '10-20%': 0, '20-30%': 2, '30-40%': 0, '40-50%': 0, '50-60%': 1, '60-70%': 16, '70-80%': 15, '80-90%': 14, '90-100%': 3}	{'Lines of input read': 16, 'Variants processed': 16, 'Variants filtered out': 0, 'Novel variants': 2, 'Existing variants': 14, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
GWD_CYP4F2	{'insertion': 3, 'SNV': 29}	{'missense_variant': 4, 'synonymous_variant': 4, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 21}	{'missense_variant': 51, 'splice_region_variant': 19, 'splice_polypyrimidine_tract_variant': 18, 'synonymous_variant': 68, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 17, 'non_coding_transcript_exon_variant': 13, 'intron_variant': 493, 'NMD_transcript_variant': 24, 'non_coding_transcript_variant': 39, 'upstream_gene_variant': 24, 'downstream_gene_variant': 29}	{'missense_variant': 51, 'synonymous_variant': 68}	{'tolerated_low_confidence': 5, 'deleterious_low_confidence': 11}	{'unknown': 1, 'benign': 6, 'probably_damaging': 9}	{'chr19': 32}	{'00-10%': 2, '10-20%': 30, '20-30%': 15, '30-40%': 14, '40-50%': 2, '50-60%': 2, '60-70%': 16, '70-80%': 2, '80-90%': 22, '90-100%': 14}	{'Lines of input read': 32, 'Variants processed': 32, 'Variants filtered out': 0, 'Novel variants': 2, 'Existing variants': 30, 'Overlapped genes': 3, 'Overlapped transcripts': 26, 'Overlapped regulatory features': 0}
GWD_DRD2	{'SNV': 33}	{'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 28}	{'splice_polypyrimidine_tract_variant': 8, 'synonymous_variant': 8, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 14, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 282, 'non_coding_transcript_variant': 48, 'upstream_gene_variant': 6, 'downstream_gene_variant': 68, 'regulatory_region_variant': 1}	{'synonymous_variant': 8}			{'chr11': 33}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 7, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 33, 'Variants processed': 33, 'Variants filtered out': 0, 'Novel variants': 5, 'Existing variants': 28, 'Overlapped genes': 2, 'Overlapped transcripts': 14, 'Overlapped regulatory features': 1}
GWD_GGCX	{'insertion': 1, 'sequence_alteration': 1, 'deletion': 2, 'SNV': 19}	{'missense_variant': 1, 'synonymous_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 12}	{'missense_variant': 23, 'synonymous_variant': 23, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 33, 'non_coding_transcript_exon_variant': 37, 'intron_variant': 724, 'NMD_transcript_variant': 166, 'non_coding_transcript_variant': 138, 'upstream_gene_variant': 67, 'downstream_gene_variant': 58, 'regulatory_region_variant': 1}	{'missense_variant': 23, 'synonymous_variant': 23}	{'tolerated': 9}	{'benign': 9}	{'chr2': 23}	{'00-10%': 2, '10-20%': 3, '20-30%': 3, '30-40%': 10, '40-50%': 12, '50-60%': 10, '60-70%': 2, '70-80%': 1, '80-90%': 1, '90-100%': 2}	{'Lines of input read': 23, 'Variants processed': 23, 'Variants filtered out': 0, 'Novel variants': 7, 'Existing variants': 16, 'Overlapped genes': 3, 'Overlapped transcripts': 47, 'Overlapped regulatory features': 1}
GWD_OPRM1	{'deletion': 1, 'sequence_alteration': 1, 'SNV': 65}	{'stop_gained': 1, 'missense_variant': 4, 'synonymous_variant': 2, '3_prime_UTR_variant': 10, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 42}	{'stop_gained': 1, 'missense_variant': 13, 'splice_region_variant': 1, 'synonymous_variant': 2, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 33, 'non_coding_transcript_exon_variant': 12, 'intron_variant': 900, 'NMD_transcript_variant': 105, 'non_coding_transcript_variant': 62, 'upstream_gene_variant': 44, 'downstream_gene_variant': 112, 'regulatory_region_variant': 3}	{'stop_gained': 1, 'missense_variant': 13, 'synonymous_variant': 2}	{'tolerated_low_confidence': 1, 'deleterious_low_confidence': 2, 'deleterious': 10}	{'probably_damaging': 1, 'unknown': 2, 'possibly_damaging': 10}	{'chr6': 67}	{'00-10%': 2, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 1, '60-70%': 9, '70-80%': 0, '80-90%': 0, '90-100%': 4}	{'Lines of input read': 67, 'Variants processed': 67, 'Variants filtered out': 0, 'Novel variants': 14, 'Existing variants': 53, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 3}
GWD_UGT2B7	{'deletion': 1, 'insertion': 4, 'SNV': 83}	{'stop_gained': 1, 'missense_variant': 3, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 5, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 71}	{'stop_gained': 9, 'missense_variant': 23, 'splice_polypyrimidine_tract_variant': 10, 'synonymous_variant': 40, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 11, 'non_coding_transcript_exon_variant': 11, 'intron_variant': 505, 'non_coding_transcript_variant': 145, 'upstream_gene_variant': 33, 'downstream_gene_variant': 54, 'regulatory_region_variant': 4}	{'stop_gained': 9, 'missense_variant': 23, 'synonymous_variant': 40}	{'deleterious_low_confidence': 3, 'tolerated_low_confidence': 7}	{'benign': 10}	{'chr4': 88}	{'00-10%': 1, '10-20%': 9, '20-30%': 9, '30-40%': 7, '40-50%': 20, '50-60%': 4, '60-70%': 14, '70-80%': 5, '80-90%': 1, '90-100%': 2}	{'Lines of input read': 88, 'Variants processed': 88, 'Variants filtered out': 0, 'Novel variants': 5, 'Existing variants': 83, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 2}
GWD_VKORC1	{'SNV': 5}	{'missense_variant': 2, '3_prime_UTR_variant': 1, 'intron_variant': 2}	{'missense_variant': 6, 'synonymous_variant': 4, '3_prime_UTR_variant': 8, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 32, 'non_coding_transcript_variant': 4, 'upstream_gene_variant': 18, 'downstream_gene_variant': 3}	{'missense_variant': 6, 'synonymous_variant': 4}	{'tolerated': 1, 'tolerated_low_confidence': 1, 'deleterious_low_confidence': 4}	{'probably_damaging': 1, 'possibly_damaging': 2, 'unknown': 3}	{'chr16': 5}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 1, '40-50%': 1, '50-60%': 0, '60-70%': 1, '70-80%': 2, '80-90%': 0, '90-100%': 5}	{'Lines of input read': 5, 'Variants processed': 5, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 5, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 0}
IBS_CALU	{'insertion': 1, 'deletion': 1, 'SNV': 26}	{'missense_variant': 2, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 5, 'intron_variant': 20}	{'missense_variant': 35, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 58, 'intron_variant': 521, 'upstream_gene_variant': 7, 'downstream_gene_variant': 76, 'regulatory_region_variant': 3}	{'missense_variant': 35}	{'tolerated_low_confidence': 1, 'tolerated': 28}	{'benign': 29}	{'chr7': 28}	{'00-10%': 24, '10-20%': 0, '20-30%': 10, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 28, 'Variants processed': 28, 'Variants filtered out': 0, 'Novel variants': 4, 'Existing variants': 24, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 3}
IBS_CYP2C9	{'SNV': 53}	{'missense_variant': 2, 'splice_polypyrimidine_tract_variant': 2, 'synonymous_variant': 1, '3_prime_UTR_variant': 9, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 36}	{'missense_variant': 33, 'splice_polypyrimidine_tract_variant': 18, 'synonymous_variant': 17, '3_prime_UTR_variant': 51, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 876, 'NMD_transcript_variant': 52, 'non_coding_transcript_variant': 22, 'upstream_gene_variant': 17, 'downstream_gene_variant': 29}	{'missense_variant': 33, 'synonymous_variant': 17}	{'tolerated_low_confidence': 2, 'deleterious_low_confidence': 2}	{'possibly_damaging': 1, 'benign': 1, 'probably_damaging': 2}	{'chr10': 53}	{'00-10%': 0, '10-20%': 0, '20-30%': 9, '30-40%': 5, '40-50%': 1, '50-60%': 1, '60-70%': 2, '70-80%': 14, '80-90%': 1, '90-100%': 17}	{'Lines of input read': 53, 'Variants processed': 53, 'Variants filtered out': 0, 'Novel variants': 6, 'Existing variants': 47, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
IBS_CYP4F2	{'insertion': 3, 'SNV': 52}	{'missense_variant': 4, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 2, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 41, 'downstream_gene_variant': 1}	{'missense_variant': 69, 'splice_region_variant': 15, 'splice_polypyrimidine_tract_variant': 36, 'synonymous_variant': 52, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 16, 'non_coding_transcript_exon_variant': 12, 'intron_variant': 885, 'NMD_transcript_variant': 43, 'non_coding_transcript_variant': 75, 'upstream_gene_variant': 105, 'downstream_gene_variant': 62}	{'missense_variant': 69, 'synonymous_variant': 52}	{'tolerated': 2, 'deleterious_low_confidence': 10, 'tolerated_low_confidence': 10}	{'probably_damaging': 4, 'benign': 18}	{'chr19': 55}	{'00-10%': 20, '10-20%': 30, '20-30%': 0, '30-40%': 1, '40-50%': 1, '50-60%': 3, '60-70%': 14, '70-80%': 3, '80-90%': 20, '90-100%': 29}	{'Lines of input read': 55, 'Variants processed': 55, 'Variants filtered out': 0, 'Novel variants': 2, 'Existing variants': 53, 'Overlapped genes': 3, 'Overlapped transcripts': 26, 'Overlapped regulatory features': 0}
IBS_DRD2	{'deletion': 1, 'insertion': 2, 'SNV': 91}	{'synonymous_variant': 2, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 81}	{'synonymous_variant': 16, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 35, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 686, 'non_coding_transcript_variant': 114, 'upstream_gene_variant': 72, 'downstream_gene_variant': 89, 'regulatory_region_variant': 6}	{'synonymous_variant': 16}			{'chr11': 94}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 15, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 94, 'Variants processed': 94, 'Variants filtered out': 0, 'Novel variants': 18, 'Existing variants': 76, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 4}
IBS_GGCX	{'deletion': 1, 'insertion': 1, 'SNV': 24}	{'missense_variant': 1, 'synonymous_variant': 2, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 6, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 10}	{'missense_variant': 23, 'synonymous_variant': 46, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 41, 'non_coding_transcript_exon_variant': 40, 'intron_variant': 616, 'NMD_transcript_variant': 146, 'non_coding_transcript_variant': 124, 'upstream_gene_variant': 97, 'downstream_gene_variant': 235, 'regulatory_region_variant': 3}	{'missense_variant': 23, 'synonymous_variant': 46}	{'tolerated': 9}	{'benign': 9}	{'chr2': 26}	{'00-10%': 2, '10-20%': 3, '20-30%': 5, '30-40%': 13, '40-50%': 14, '50-60%': 23, '60-70%': 2, '70-80%': 1, '80-90%': 2, '90-100%': 4}	{'Lines of input read': 26, 'Variants processed': 26, 'Variants filtered out': 0, 'Novel variants': 6, 'Existing variants': 20, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 2}
IBS_OPRM1	{'insertion': 3, 'deletion': 8, 'SNV': 175}	{'stop_gained': 1, 'missense_variant': 3, 'synonymous_variant': 2, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 32, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 141}	{'stop_gained': 1, 'missense_variant': 17, 'synonymous_variant': 2, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 65, 'non_coding_transcript_exon_variant': 11, 'intron_variant': 2306, 'NMD_transcript_variant': 300, 'non_coding_transcript_variant': 186, 'upstream_gene_variant': 84, 'downstream_gene_variant': 273, 'regulatory_region_variant': 12}	{'stop_gained': 1, 'missense_variant': 17, 'synonymous_variant': 2}	{'tolerated_low_confidence': 1, 'deleterious': 2, 'deleterious_low_confidence': 14}	{'probably_damaging': 2, 'unknown': 2, 'possibly_damaging': 3, 'benign': 10}	{'chr6': 186}	{'00-10%': 8, '10-20%': 4, '20-30%': 3, '30-40%': 0, '40-50%': 0, '50-60%': 1, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 4}	{'Lines of input read': 186, 'Variants processed': 186, 'Variants filtered out': 0, 'Novel variants': 38, 'Existing variants': 148, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 7}
IBS_UGT2B7	{'deletion': 3, 'insertion': 7, 'SNV': 147}	{'missense_variant': 1, 'splice_region_variant': 2, 'synonymous_variant': 6, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 7, 'intron_variant': 140}	{'missense_variant': 9, 'splice_region_variant': 8, 'synonymous_variant': 49, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 12, 'non_coding_transcript_exon_variant': 14, 'intron_variant': 803, 'non_coding_transcript_variant': 234, 'upstream_gene_variant': 169, 'downstream_gene_variant': 76, 'regulatory_region_variant': 12}	{'missense_variant': 9, 'synonymous_variant': 49}	{'tolerated_low_confidence': 4}	{'benign': 4}	{'chr4': 157}	{'00-10%': 0, '10-20%': 3, '20-30%': 4, '30-40%': 0, '40-50%': 14, '50-60%': 8, '60-70%': 14, '70-80%': 10, '80-90%': 2, '90-100%': 3}	{'Lines of input read': 157, 'Variants processed': 157, 'Variants filtered out': 0, 'Novel variants': 10, 'Existing variants': 147, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 4}
IBS_VKORC1	{'SNV': 9}	{'splice_donor_variant': 1, 'synonymous_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 3}	{'splice_donor_variant': 1, 'synonymous_variant': 6, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 7, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 73, 'non_coding_transcript_variant': 7, 'upstream_gene_variant': 30, 'downstream_gene_variant': 3, 'regulatory_region_variant': 1}	{'synonymous_variant': 6}			{'chr16': 9}	{'00-10%': 5, '10-20%': 1, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 9, 'Variants processed': 9, 'Variants filtered out': 0, 'Novel variants': 2, 'Existing variants': 7, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
