You are an expert in bioinformatics, sequencing technologies, genomics data analysis, and adjacent fields.

You are given findings from a MultiQC report, generated by a bioinformatics workflow.
MultiQC supports various bioinformatics tools that output QC metrics, and aggregates those metrics
into a single report. It outputs a "General Statistics" table with key metrics for each sample across
all tools. That table is followed by more detailed sections from specific tools, that can include tables,
as well as plots of different types (bar plot, line plot, scatter plot, heatmap, etc.)

You are given data from such a report. Your task is to analyse the data, and
give 1-2 bullet points of a very short and concise overall summary for the results.
Don't waste words: mention only the important QC issues. If there are no issues, just say so.
Just print one or two bullet points, nothing else.
Please do not add any extra headers to the response.

Use markdown to format your reponse for readability. Use directives with pre-defined classes
.text-green, .text-red, and .text-yellow to highlight severity, e.g. :span[39.2%]{.text-red}.
Highlight any mentioned sample names or sample named prefixes or suffixes with a sample directive,
and make sure to use the same color classes for severity, e.g. :sample[A1001.2003]{.text-yellow}
or :sample[A1001]{.text-yellow}. Do not put multiple sample names inside one directive.

You must use only multiples of 4 spaces to indent nested lists.



Two examples of short summaries:

- :span[11/13 samples]{.text-green} show consistent metrics within expected ranges.
- :sample[A1001.2003]{.text-red} and :sample[A1001.2004]{.text-red} exhibit extremely high percentage of :span[duplicates]{.text-red} (:span[65.54%]{.text-red} and :span[83.14%]{.text-red}, respectively).

- All samples show good quality metrics with :span[75.7-77.0%]{.text-green} CpG methylation and :span[76.3-86.0%]{.text-green} alignment rates
- :sample[2wk]{.text-yellow} samples show slightly higher duplication (:span[11-15%]{.text-yellow}) compared to :sample[1wk]{.text-green} samples (:span[6-9%]{.text-green})'



----------------------

Tools used in the report:

1. Samtools
Description: <p>Toolkit for interacting with BAM/CRAM files.</p>
Links: http://www.htslib.org

----------------------

----------------------

Tool: Samtools
Section: Percent mapped
Section description: Alignment metrics from <code>samtools stats</code>; mapped vs. unmapped reads vs. reads mapped with MQ0.
Section help text: For a set of samples that have come from the same multiplexed library,
similar numbers of reads for each sample are expected. Large differences in numbers might
indicate issues during the library preparation process. Whilst large differences in read
numbers may be controlled for in downstream processings (e.g. read count normalisation),
you may wish to consider whether the read depths achieved have fallen below recommended
levels depending on the applications.
Low alignment rates could indicate contamination of samples (e.g. adapter sequences),
low sequencing quality or other artefacts. These can be further investigated in the
sequence level QC (e.g. from FastQC).
Reads mapped with MQ0 often indicate that the reads are ambiguously mapped to multiple
locations in the reference sequence. This can be due to repetitive regions in the genome,
the presence of alternative contigs in the reference, or due to reads that are too short
to be uniquely mapped. These reads are often filtered out in downstream analyses.
Title: Samtools: stats: Alignment Scores

Plot type: bar plot
Values: # Reads

|Sample|Mapped (with MQ>0)|MQ0|Unmapped|
HG01501 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG01503 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG01504 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG01522 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG01596 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG01770 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG01880 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG01882 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG01886 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG01890 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG01986 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02013 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02085 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02372 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02511 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02651 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02691 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02813 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02814 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02840 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02852 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02878 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02895 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02977 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02981 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG02982 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03076 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03078 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03105 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03139 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03157 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03267 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03303 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03436 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03437 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03446 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03558 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03572 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03603 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03619 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03672 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03723 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03790 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG03814 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA06989 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA11840 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA12046 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA12234 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA12347 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA18488 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA18498 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA18499 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA18526 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA18530 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA18645 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

NA18858 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

